INSERT INTO BUSSCHEDULE VALUES ('SE0001', 'R004', 'D009', 'FBG6123', TO_DATE('01-JAN-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('22:46', 'HH24:MI'), 'ON TIME', 22);
INSERT INTO BUSSCHEDULE VALUES ('SE0627', 'R009', 'D020', 'FGD4177', TO_DATE('10-OCT-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('13:57', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0628', 'R008', 'D008', 'HGA1514', TO_DATE('10-OCT-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('18:47', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0629', 'R010', 'D003', 'GIH5437', TO_DATE('10-OCT-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('22:55', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0630', 'R007', 'D032', 'BCN4749', TO_DATE('10-OCT-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('22:59', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0631', 'R005', 'D011', 'ILD8716', TO_DATE('11-OCT-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('19:29', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0632', 'R001', 'D020', 'HLL5666', TO_DATE('11-OCT-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('20:53', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0633', 'R010', 'D026', 'HBD9947', TO_DATE('11-OCT-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('21:41', 'HH24:MI'), 'DELAYED', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0634', 'R005', 'D010', 'ILD8716', TO_DATE('11-OCT-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('22:35', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0635', 'R001', 'D040', 'IDO7977', TO_DATE('12-OCT-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('18:35', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0636', 'R006', 'D025', 'KLM1684', TO_DATE('12-OCT-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('19:37', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0637', 'R003', 'D016', 'CIH6968', TO_DATE('12-OCT-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('19:48', 'HH24:MI'), 'DELAYED', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0638', 'R007', 'D037', 'HNF8387', TO_DATE('14-OCT-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('16:48', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0639', 'R010', 'D024', 'ELJ4854', TO_DATE('14-OCT-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('17:45', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0640', 'R003', 'D033', 'ILD8716', TO_DATE('14-OCT-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('21:44', 'HH24:MI'), 'DELAYED', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0641', 'R001', 'D039', 'MKE1591', TO_DATE('14-OCT-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('21:58', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0642', 'R002', 'D013', 'MKE1591', TO_DATE('15-OCT-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('14:17', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0643', 'R010', 'D040', 'BAJ1333', TO_DATE('16-OCT-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('20:31', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0644', 'R005', 'D012', 'HNF8387', TO_DATE('16-OCT-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('22:37', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0645', 'R006', 'D015', 'AOI9521', TO_DATE('16-OCT-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('22:40', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0646', 'R001', 'D006', 'LHI8711', TO_DATE('16-OCT-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('22:40', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0647', 'R010', 'D032', 'HGA1514', TO_DATE('17-OCT-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('21:42', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0648', 'R009', 'D036', 'KJB8298', TO_DATE('17-OCT-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('21:52', 'HH24:MI'), 'DELAYED', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0649', 'R002', 'D016', 'HGG3653', TO_DATE('17-OCT-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('21:59', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0650', 'R007', 'D021', 'GIH5437', TO_DATE('17-OCT-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('21:59', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0651', 'R006', 'D040', 'HBD9947', TO_DATE('18-OCT-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('17:56', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0652', 'R002', 'D029', 'CIH6968', TO_DATE('18-OCT-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('18:53', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0653', 'R008', 'D026', 'FCG2912', TO_DATE('18-OCT-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('22:33', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0654', 'R007', 'D015', 'BCN4749', TO_DATE('19-OCT-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('20:51', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0655', 'R008', 'D038', 'EAK2589', TO_DATE('19-OCT-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('21:11', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0656', 'R007', 'D021', 'CGI2532', TO_DATE('19-OCT-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('22:29', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0657', 'R001', 'D035', 'HGG3653', TO_DATE('19-OCT-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('22:31', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0658', 'R008', 'D038', 'JKE9495', TO_DATE('20-OCT-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('18:29', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0659', 'R001', 'D023', 'EAK2589', TO_DATE('21-OCT-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('19:58', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0660', 'R007', 'D007', 'HGG3653', TO_DATE('21-OCT-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('20:11', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0661', 'R001', 'D026', 'FCG2912', TO_DATE('21-OCT-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('22:59', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0662', 'R003', 'D002', 'BAJ1333', TO_DATE('21-OCT-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('22:59', 'HH24:MI'), 'DELAYED', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0663', 'R003', 'D034', 'HNF8387', TO_DATE('23-OCT-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('21:36', 'HH24:MI'), 'DELAYED', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0664', 'R005', 'D020', 'KOE8352', TO_DATE('23-OCT-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('22:19', 'HH24:MI'), 'DELAYED', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0665', 'R004', 'D004', 'CIH6968', TO_DATE('23-OCT-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('22:30', 'HH24:MI'), 'DELAYED', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0666', 'R008', 'D034', 'LHI8711', TO_DATE('23-OCT-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('22:32', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0667', 'R008', 'D002', 'CGI2532', TO_DATE('24-OCT-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('14:31', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0668', 'R007', 'D019', 'CJF1753', TO_DATE('25-OCT-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('12:18', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0669', 'R008', 'D037', 'JLG8441', TO_DATE('26-OCT-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('19:34', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0670', 'R001', 'D005', 'OHI2258', TO_DATE('27-OCT-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('14:14', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0671', 'R003', 'D012', 'CGI2532', TO_DATE('27-OCT-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('14:59', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0672', 'R010', 'D016', 'CIH6968', TO_DATE('27-OCT-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('14:59', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0673', 'R003', 'D011', 'OHI2258', TO_DATE('27-OCT-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('18:46', 'HH24:MI'), 'DELAYED', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0674', 'R010', 'D040', 'BAJ1333', TO_DATE('28-OCT-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('18:57', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0675', 'R007', 'D011', 'AOI9521', TO_DATE('28-OCT-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('21:25', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0676', 'R002', 'D002', 'KOE8352', TO_DATE('29-OCT-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('18:22', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0677', 'R008', 'D018', 'MKE1591', TO_DATE('30-OCT-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('16:21', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0678', 'R005', 'D012', 'JKE9495', TO_DATE('01-NOV-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('14:42', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0679', 'R006', 'D023', 'FCG2912', TO_DATE('01-NOV-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('21:29', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0680', 'R007', 'D039', 'AOI9521', TO_DATE('01-NOV-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('22:50', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0681', 'R001', 'D006', 'HBD9947', TO_DATE('02-NOV-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('21:34', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0682', 'R002', 'D004', 'HGA1514', TO_DATE('02-NOV-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('22:25', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0683', 'R010', 'D016', 'BAJ1333', TO_DATE('02-NOV-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('22:29', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0684', 'R005', 'D001', 'ILD8716', TO_DATE('02-NOV-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('22:54', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0685', 'R003', 'D012', 'AOI9521', TO_DATE('03-NOV-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('16:30', 'HH24:MI'), 'DELAYED', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0686', 'R004', 'D037', 'KOE8352', TO_DATE('03-NOV-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('20:26', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0687', 'R009', 'D035', 'ELJ4854', TO_DATE('05-NOV-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('20:14', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0688', 'R003', 'D004', 'CJF1753', TO_DATE('06-NOV-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('20:16', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0689', 'R002', 'D018', 'HGA1514', TO_DATE('06-NOV-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('20:42', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0690', 'R008', 'D020', 'HBD9947', TO_DATE('06-NOV-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('21:12', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0691', 'R006', 'D016', 'FBG6123', TO_DATE('06-NOV-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('21:32', 'HH24:MI'), 'DELAYED', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0692', 'R007', 'D005', 'HBD9947', TO_DATE('07-NOV-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('19:48', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0693', 'R010', 'D001', 'KOE8352', TO_DATE('07-NOV-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('20:22', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0694', 'R007', 'D040', 'AOI9521', TO_DATE('07-NOV-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('21:31', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0695', 'R009', 'D009', 'ELJ4854', TO_DATE('07-NOV-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('22:40', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0696', 'R003', 'D036', 'GIH5437', TO_DATE('08-NOV-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('10:29', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0697', 'R007', 'D023', 'KCD9945', TO_DATE('08-NOV-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('16:30', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0698', 'R002', 'D005', 'OHI2258', TO_DATE('10-NOV-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('11:24', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0699', 'R006', 'D012', 'FBG6123', TO_DATE('10-NOV-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('15:45', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0700', 'R003', 'D019', 'FMA5211', TO_DATE('11-NOV-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('15:25', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0701', 'R009', 'D004', 'JKE9495', TO_DATE('12-NOV-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('11:49', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0702', 'R002', 'D020', 'LHI8711', TO_DATE('12-NOV-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('16:38', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0703', 'R004', 'D013', 'FBG6123', TO_DATE('12-NOV-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('20:33', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0704', 'R008', 'D029', 'BCN4749', TO_DATE('12-NOV-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('20:56', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0705', 'R001', 'D034', 'AOI9521', TO_DATE('13-NOV-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('21:15', 'HH24:MI'), 'DELAYED', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0706', 'R005', 'D016', 'MKE1591', TO_DATE('13-NOV-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('22:25', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0707', 'R010', 'D010', 'KOE8352', TO_DATE('15-NOV-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('13:19', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0708', 'R005', 'D023', 'CIH6968', TO_DATE('15-NOV-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('21:26', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0709', 'R001', 'D018', 'ILD8716', TO_DATE('15-NOV-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('22:17', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0710', 'R007', 'D038', 'HLL5666', TO_DATE('15-NOV-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('22:28', 'HH24:MI'), 'DELAYED', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0711', 'R006', 'D026', 'GIH5437', TO_DATE('16-NOV-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('14:34', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0712', 'R005', 'D018', 'LHI8711', TO_DATE('17-NOV-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('16:24', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0713', 'R009', 'D034', 'HNF8387', TO_DATE('17-NOV-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('16:58', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0714', 'R008', 'D031', 'HBD9947', TO_DATE('17-NOV-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('21:47', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0715', 'R002', 'D006', 'CIH6968', TO_DATE('17-NOV-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('21:51', 'HH24:MI'), 'DELAYED', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0716', 'R007', 'D039', 'EAK2589', TO_DATE('18-NOV-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('20:25', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0717', 'R001', 'D036', 'KLM1684', TO_DATE('18-NOV-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('22:37', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0718', 'R006', 'D019', 'KOE8352', TO_DATE('18-NOV-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('22:58', 'HH24:MI'), 'DELAYED', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0719', 'R001', 'D001', 'HLL5666', TO_DATE('19-NOV-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('10:29', 'HH24:MI'), 'DELAYED', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0720', 'R009', 'D004', 'JLG8441', TO_DATE('20-NOV-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('21:32', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0721', 'R009', 'D015', 'HGG3653', TO_DATE('21-NOV-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('22:19', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0722', 'R010', 'D016', 'ELJ4854', TO_DATE('22-NOV-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('11:46', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0723', 'R004', 'D038', 'OHI2258', TO_DATE('22-NOV-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('20:44', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0724', 'R003', 'D037', 'HGA1514', TO_DATE('22-NOV-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('21:41', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0725', 'R004', 'D011', 'EAK2589', TO_DATE('22-NOV-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('21:59', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0726', 'R001', 'D039', 'HNF8387', TO_DATE('24-NOV-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('10:42', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0727', 'R005', 'D012', 'JKE9495', TO_DATE('24-NOV-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('10:42', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0728', 'R010', 'D023', 'LOG2731', TO_DATE('24-NOV-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('19:38', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0729', 'R004', 'D012', 'ILD8716', TO_DATE('25-NOV-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('11:11', 'HH24:MI'), 'DELAYED', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0730', 'R003', 'D013', 'GIH5437', TO_DATE('27-NOV-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('13:15', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0731', 'R008', 'D026', 'CGI2532', TO_DATE('27-NOV-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('16:10', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0732', 'R005', 'D006', 'IDO7977', TO_DATE('27-NOV-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('20:46', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0733', 'R007', 'D019', 'HNF8387', TO_DATE('29-NOV-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('17:21', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0734', 'R002', 'D017', 'LHI8711', TO_DATE('30-NOV-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('14:52', 'HH24:MI'), 'DELAYED', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0735', 'R010', 'D003', 'FCG2912', TO_DATE('30-NOV-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('14:56', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0736', 'R008', 'D031', 'KJB8298', TO_DATE('30-NOV-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('17:25', 'HH24:MI'), 'ON TIME', 0);
INSERT INTO BUSSCHEDULE VALUES ('SE0737', 'R006', 'D010', 'FGD4177', TO_DATE('01-DEC-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('22:49', 'HH24:MI'), 'ON TIME', 24);
INSERT INTO BUSSCHEDULE VALUES ('SE0738', 'R010', 'D016', 'JLG8441', TO_DATE('02-DEC-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('10:15', 'HH24:MI'), 'ON TIME', 17);
INSERT INTO BUSSCHEDULE VALUES ('SE0739', 'R001', 'D027', 'MKE1591', TO_DATE('02-DEC-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('20:14', 'HH24:MI'), 'ON TIME', 31);
INSERT INTO BUSSCHEDULE VALUES ('SE0740', 'R008', 'D022', 'CGI2532', TO_DATE('02-DEC-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('21:54', 'HH24:MI'), 'ON TIME', 19);
INSERT INTO BUSSCHEDULE VALUES ('SE0741', 'R004', 'D029', 'FBG6123', TO_DATE('03-DEC-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('12:41', 'HH24:MI'), 'ON TIME', 22);
INSERT INTO BUSSCHEDULE VALUES ('SE0742', 'R006', 'D003', 'LOG2731', TO_DATE('03-DEC-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('15:36', 'HH24:MI'), 'ON TIME', 35);
INSERT INTO BUSSCHEDULE VALUES ('SE0743', 'R010', 'D008', 'CJF1753', TO_DATE('03-DEC-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('19:25', 'HH24:MI'), 'ON TIME', 21);
INSERT INTO BUSSCHEDULE VALUES ('SE0744', 'R007', 'D015', 'FGD4177', TO_DATE('03-DEC-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('22:48', 'HH24:MI'), 'ON TIME', 26);
INSERT INTO BUSSCHEDULE VALUES ('SE0745', 'R006', 'D022', 'LHI8711', TO_DATE('04-DEC-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('13:49', 'HH24:MI'), 'ON TIME', 21);
INSERT INTO BUSSCHEDULE VALUES ('SE0746', 'R010', 'D028', 'HNF8387', TO_DATE('04-DEC-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('14:37', 'HH24:MI'), 'ON TIME', 24);
INSERT INTO BUSSCHEDULE VALUES ('SE0747', 'R001', 'D001', 'OHI2258', TO_DATE('04-DEC-2018', 'DD/MM/YYYY'), TO_TIMESTAMP('18:16', 'HH24:MI'), 'CANCELLED', 20);
