INSERT INTO TRANSACTION VALUES ('T00001', 'M1416', TO_DATE('01-Dec-2017', 'DD/MM/YYYY'), 49.4, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T05797', 'M0390', TO_DATE('04-Sep-2018', 'DD/MM/YYYY'), 34.6, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05798', 'M0513', TO_DATE('04-Sep-2018', 'DD/MM/YYYY'), 44.9, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T05799', 'M0534', TO_DATE('04-Sep-2018', 'DD/MM/YYYY'), 45.5, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T05800', 'M0558', TO_DATE('04-Sep-2018', 'DD/MM/YYYY'), 122.2, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T05801', 'M0515', TO_DATE('04-Sep-2018', 'DD/MM/YYYY'), 33.7, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T05802', 'M0981', TO_DATE('04-Sep-2018', 'DD/MM/YYYY'), 38.4, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T05803', 'M0556', TO_DATE('04-Sep-2018', 'DD/MM/YYYY'), 48.2, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T05804', 'M1214', TO_DATE('04-Sep-2018', 'DD/MM/YYYY'), 25.7, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05805', 'M0251', TO_DATE('04-Sep-2018', 'DD/MM/YYYY'), 56.1, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T05806', 'M0540', TO_DATE('04-Sep-2018', 'DD/MM/YYYY'), 99.2, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05807', 'M0758', TO_DATE('04-Sep-2018', 'DD/MM/YYYY'), 86.7, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05808', 'M0206', TO_DATE('04-Sep-2018', 'DD/MM/YYYY'), 33.7, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T05809', 'M1329', TO_DATE('04-Sep-2018', 'DD/MM/YYYY'), 164.3, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T05810', 'M1134', TO_DATE('04-Sep-2018', 'DD/MM/YYYY'), 48.4, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T05811', 'M1389', TO_DATE('04-Sep-2018', 'DD/MM/YYYY'), 26.3, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05812', 'M1425', TO_DATE('04-Sep-2018', 'DD/MM/YYYY'), 43.0, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05813', 'M1251', TO_DATE('04-Sep-2018', 'DD/MM/YYYY'), 33.7, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T05814', 'M1353', TO_DATE('05-Sep-2018', 'DD/MM/YYYY'), 178.1, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T05815', 'M1308', TO_DATE('05-Sep-2018', 'DD/MM/YYYY'), 127.2, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T05816', 'M1339', TO_DATE('05-Sep-2018', 'DD/MM/YYYY'), 47.8, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05817', 'M1447', TO_DATE('05-Sep-2018', 'DD/MM/YYYY'), 48.2, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T05818', 'M0940', TO_DATE('05-Sep-2018', 'DD/MM/YYYY'), 84.7, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T05819', 'M0305', TO_DATE('05-Sep-2018', 'DD/MM/YYYY'), 88.1, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T05820', 'M1162', TO_DATE('05-Sep-2018', 'DD/MM/YYYY'), 47.0, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T05821', 'M1124', TO_DATE('05-Sep-2018', 'DD/MM/YYYY'), 47.8, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T05822', 'M1466', TO_DATE('05-Sep-2018', 'DD/MM/YYYY'), 57.2, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T05823', 'M1224', TO_DATE('05-Sep-2018', 'DD/MM/YYYY'), 177.8, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T05824', 'M0104', TO_DATE('05-Sep-2018', 'DD/MM/YYYY'), 61.4, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T05825', 'M1492', TO_DATE('05-Sep-2018', 'DD/MM/YYYY'), 109.3, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T05826', 'M0607', TO_DATE('05-Sep-2018', 'DD/MM/YYYY'), 86.0, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05827', 'M0302', TO_DATE('05-Sep-2018', 'DD/MM/YYYY'), 31.8, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T05828', 'M0570', TO_DATE('05-Sep-2018', 'DD/MM/YYYY'), 63.6, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T05829', 'M0673', TO_DATE('05-Sep-2018', 'DD/MM/YYYY'), 65.7, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T05830', 'M1136', TO_DATE('06-Sep-2018', 'DD/MM/YYYY'), 23.3, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T05831', 'M1085', TO_DATE('06-Sep-2018', 'DD/MM/YYYY'), 44.5, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05832', 'M0114', TO_DATE('06-Sep-2018', 'DD/MM/YYYY'), 18.2, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05833', 'M0711', TO_DATE('07-Sep-2018', 'DD/MM/YYYY'), 18.2, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T05834', 'M0584', TO_DATE('07-Sep-2018', 'DD/MM/YYYY'), 36.0, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05835', 'M1181', TO_DATE('07-Sep-2018', 'DD/MM/YYYY'), 52.6, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T05836', 'M0547', TO_DATE('07-Sep-2018', 'DD/MM/YYYY'), 43.0, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05837', 'M1317', TO_DATE('07-Sep-2018', 'DD/MM/YYYY'), 15.9, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05838', 'M1124', TO_DATE('07-Sep-2018', 'DD/MM/YYYY'), 23.3, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T05839', 'M0758', TO_DATE('07-Sep-2018', 'DD/MM/YYYY'), 52.5, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T05840', 'M0971', TO_DATE('07-Sep-2018', 'DD/MM/YYYY'), 27.7, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T05841', 'M0683', TO_DATE('07-Sep-2018', 'DD/MM/YYYY'), 73.3, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T05842', 'M1387', TO_DATE('07-Sep-2018', 'DD/MM/YYYY'), 43.0, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T05843', 'M0578', TO_DATE('07-Sep-2018', 'DD/MM/YYYY'), 92.6, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05844', 'M0321', TO_DATE('07-Sep-2018', 'DD/MM/YYYY'), 249.8, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T05845', 'M0296', TO_DATE('07-Sep-2018', 'DD/MM/YYYY'), 91.0, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05846', 'M1328', TO_DATE('07-Sep-2018', 'DD/MM/YYYY'), 152.5, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T05847', 'M1106', TO_DATE('07-Sep-2018', 'DD/MM/YYYY'), 166.1, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T05848', 'M1228', TO_DATE('07-Sep-2018', 'DD/MM/YYYY'), 18.2, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T05849', 'M0677', TO_DATE('07-Sep-2018', 'DD/MM/YYYY'), 27.7, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05850', 'M1336', TO_DATE('08-Sep-2018', 'DD/MM/YYYY'), 58.1, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05851', 'M0900', TO_DATE('08-Sep-2018', 'DD/MM/YYYY'), 27.0, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T05852', 'M1020', TO_DATE('08-Sep-2018', 'DD/MM/YYYY'), 14.6, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05853', 'M1401', TO_DATE('09-Sep-2018', 'DD/MM/YYYY'), 32.2, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T05854', 'M1077', TO_DATE('09-Sep-2018', 'DD/MM/YYYY'), 45.5, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T05855', 'M0848', TO_DATE('09-Sep-2018', 'DD/MM/YYYY'), 14.6, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05856', 'M0144', TO_DATE('09-Sep-2018', 'DD/MM/YYYY'), 34.6, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05857', 'M1477', TO_DATE('09-Sep-2018', 'DD/MM/YYYY'), 49.6, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T05858', 'M1340', TO_DATE('09-Sep-2018', 'DD/MM/YYYY'), 63.0, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T05859', 'M0160', TO_DATE('09-Sep-2018', 'DD/MM/YYYY'), 59.7, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T05860', 'M0849', TO_DATE('09-Sep-2018', 'DD/MM/YYYY'), 47.4, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T05861', 'M0001', TO_DATE('09-Sep-2018', 'DD/MM/YYYY'), 87.6, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05862', 'M0700', TO_DATE('09-Sep-2018', 'DD/MM/YYYY'), 48.4, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05863', 'M1235', TO_DATE('09-Sep-2018', 'DD/MM/YYYY'), 192.8, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T05864', 'M0693', TO_DATE('09-Sep-2018', 'DD/MM/YYYY'), 97.7, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05865', 'M1042', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 23.3, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T05866', 'M0320', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 100.5, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05867', 'M0758', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 57.3, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T05868', 'M1449', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 11.4, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05869', 'M0705', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 61.2, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T05870', 'M0117', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 48.4, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05871', 'M1498', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 32.2, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T05872', 'M0018', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 37.3, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T05873', 'M0074', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 76.7, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05874', 'M1002', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 55.9, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T05875', 'M0774', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 114.2, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T05876', 'M0842', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 96.4, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T05877', 'M0274', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 33.7, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05878', 'M0120', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 47.6, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T05879', 'M0595', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 37.3, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T05880', 'M0046', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 77.8, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T05881', 'M0590', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 23.8, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T05882', 'M1109', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 14.6, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05883', 'M1474', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 26.9, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05884', 'M1428', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 48.4, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05885', 'M0695', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 74.7, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05886', 'M0530', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 47.8, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T05887', 'M0235', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 131.1, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05888', 'M0659', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 24.8, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T05889', 'M0698', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 18.2, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T05890', 'M1422', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 201.5, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05891', 'M0836', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 112.5, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T05892', 'M0059', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 92.7, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T05893', 'M0039', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 129.0, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T05894', 'M1378', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 37.3, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T05895', 'M0247', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 16.6, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05896', 'M0972', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 10.4, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05897', 'M1386', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 16.6, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05898', 'M1215', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 15.9, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T05899', 'M1420', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 47.7, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05900', 'M0300', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 45.5, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T05901', 'M0275', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 119.2, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T05902', 'M0023', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 15.9, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05903', 'M1181', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 43.0, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05904', 'M0431', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 62.6, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05905', 'M0037', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 33.2, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T05906', 'M0172', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 59.7, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05907', 'M0575', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 47.6, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T05908', 'M1305', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 86.6, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05909', 'M0851', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 97.1, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05910', 'M1160', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 95.7, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05911', 'M0582', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 49.4, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T05912', 'M0981', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 65.7, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05913', 'M0068', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 23.8, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05914', 'M1288', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 43.0, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T05915', 'M0379', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 99.9, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T05916', 'M0076', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 48.2, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T05917', 'M0055', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 95.1, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T05918', 'M0073', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 37.4, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T05919', 'M0074', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 69.0, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05920', 'M0963', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 55.4, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T05921', 'M1134', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 84.2, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T05922', 'M0617', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 95.5, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05923', 'M0787', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 157.4, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T05924', 'M0585', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 42.4, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05925', 'M0111', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 152.3, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T05926', 'M1261', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 38.4, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T05927', 'M1013', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 96.6, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T05928', 'M0376', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 38.4, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05929', 'M0015', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 61.7, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05930', 'M0749', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 101.3, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05931', 'M1312', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 91.7, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T05932', 'M0054', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 10.4, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05933', 'M0279', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 14.6, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T05934', 'M1256', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 73.3, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T05935', 'M0797', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 33.7, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T05936', 'M0960', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 56.9, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T05937', 'M1351', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 38.4, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T05938', 'M0398', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 122.2, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05939', 'M0160', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 58.1, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T05940', 'M1063', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 48.4, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T05941', 'M0326', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 55.1, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T05942', 'M1330', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 14.6, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05943', 'M0299', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 115.2, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05944', 'M0544', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 48.4, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05945', 'M0253', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 82.2, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05946', 'M1487', TO_DATE('10-Sep-2018', 'DD/MM/YYYY'), 21.8, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05947', 'M0354', TO_DATE('11-Sep-2018', 'DD/MM/YYYY'), 92.7, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T05948', 'M0543', TO_DATE('11-Sep-2018', 'DD/MM/YYYY'), 15.9, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T05949', 'M1142', TO_DATE('11-Sep-2018', 'DD/MM/YYYY'), 46.2, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05950', 'M1348', TO_DATE('11-Sep-2018', 'DD/MM/YYYY'), 16.6, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T05951', 'M0580', TO_DATE('11-Sep-2018', 'DD/MM/YYYY'), 23.7, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05952', 'M0098', TO_DATE('11-Sep-2018', 'DD/MM/YYYY'), 30.5, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T05953', 'M0862', TO_DATE('11-Sep-2018', 'DD/MM/YYYY'), 32.4, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T05954', 'M1328', TO_DATE('11-Sep-2018', 'DD/MM/YYYY'), 32.2, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T05955', 'M1408', TO_DATE('11-Sep-2018', 'DD/MM/YYYY'), 48.4, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05956', 'M0159', TO_DATE('11-Sep-2018', 'DD/MM/YYYY'), 31.3, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T05957', 'M0555', TO_DATE('11-Sep-2018', 'DD/MM/YYYY'), 77.6, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05958', 'M1075', TO_DATE('11-Sep-2018', 'DD/MM/YYYY'), 47.8, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T05959', 'M0481', TO_DATE('11-Sep-2018', 'DD/MM/YYYY'), 144.6, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T05960', 'M1345', TO_DATE('11-Sep-2018', 'DD/MM/YYYY'), 45.1, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05961', 'M0169', TO_DATE('11-Sep-2018', 'DD/MM/YYYY'), 23.7, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T05962', 'M1228', TO_DATE('11-Sep-2018', 'DD/MM/YYYY'), 25.7, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T05963', 'M0411', TO_DATE('11-Sep-2018', 'DD/MM/YYYY'), 55.3, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T05964', 'M1210', TO_DATE('11-Sep-2018', 'DD/MM/YYYY'), 186.8, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05965', 'M0987', TO_DATE('11-Sep-2018', 'DD/MM/YYYY'), 164.2, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T05966', 'M1451', TO_DATE('11-Sep-2018', 'DD/MM/YYYY'), 36.0, 'E-Wallet');
INSERT INTO TRANSACTION VALUES ('T05967', 'M0746', TO_DATE('11-Sep-2018', 'DD/MM/YYYY'), 91.1, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05968', 'M1459', TO_DATE('11-Sep-2018', 'DD/MM/YYYY'), 167.0, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05969', 'M0191', TO_DATE('11-Sep-2018', 'DD/MM/YYYY'), 105.5, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05970', 'M0104', TO_DATE('11-Sep-2018', 'DD/MM/YYYY'), 29.6, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T05971', 'M1432', TO_DATE('11-Sep-2018', 'DD/MM/YYYY'), 43.0, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T05972', 'M1095', TO_DATE('11-Sep-2018', 'DD/MM/YYYY'), 21.2, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T05973', 'M0746', TO_DATE('11-Sep-2018', 'DD/MM/YYYY'), 47.0, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05974', 'M1267', TO_DATE('11-Sep-2018', 'DD/MM/YYYY'), 37.3, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05975', 'M1091', TO_DATE('11-Sep-2018', 'DD/MM/YYYY'), 121.1, 'Online Banking');
INSERT INTO TRANSACTION VALUES ('T05976', 'M1396', TO_DATE('11-Sep-2018', 'DD/MM/YYYY'), 33.7, 'Debit Card/Credit Card');
INSERT INTO TRANSACTION VALUES ('T05977', 'M0336', TO_DATE('11-Sep-2018', 'DD/MM/YYYY'), 61.2, 'Online Banking');
